division,region,heatdd,cooldd,tempjan,tempjuly,agecat
N. Eng.,NE,,,16.6,69.6,19-29
N. Eng.,NE,7947.0,250.0,18.2,68.0,19-29
Mid Atl,NE,7480.0,424.0,18.4,70.2,19-29
N. Eng.,NE,7482.0,353.0,19.9,69.5,19-29
N. Eng.,NE,7482.0,353.0,19.9,69.5,19-29
Mid Atl,NE,7368.0,425.0,20.1,69.8,19-29
Mid Atl,NE,7368.0,425.0,20.1,69.8,19-29
N. Eng.,NE,7351.0,390.0,20.6,70.2,19-29
Mid Atl,NE,6927.0,494.0,21.1,71.4,19-29
Mid Atl,NE,6927.0,494.0,21.1,71.4,19-29
N. Eng.,NE,6927.0,494.0,21.1,71.4,19-29
Mid Atl,NE,6927.0,494.0,21.1,71.4,19-29
Mid Atl,NE,7344.0,330.0,21.2,68.9,19-29
N. Eng.,NE,7501.0,254.0,21.5,68.1,19-29
Mid Atl,NE,7177.0,328.0,22.2,68.8,19-29
Mid Atl,NE,7379.0,239.0,22.3,66.5,19-29
N. Eng.,NE,7081.0,351.0,22.6,69.8,19-29
N. Eng.,NE,7081.0,351.0,22.6,69.8,19-29
Mid Atl,NE,6787.0,506.0,22.8,70.9,19-29
Mid Atl,NE,6787.0,506.0,22.8,70.9,19-29
N. Eng.,NE,6950.0,359.0,23.3,69.9,19-29
Mid Atl,NE,6911.0,371.0,23.3,69.4,19-29
Mid Atl,NE,6927.0,411.0,23.5,69.8,19-29
Mid Atl,NE,6798.0,476.0,23.5,70.7,19-29
Mid Atl,NE,6798.0,476.0,23.5,70.7,19-29
Mid Atl,NE,6798.0,476.0,23.5,70.7,19-29
Mid Atl,NE,6713.0,531.0,23.6,71.3,19-29
N. Eng.,NE,6619.0,523.0,24.1,71.9,19-29
N. Eng.,NE,6619.0,523.0,24.1,71.9,19-29
N. Eng.,NE,6671.0,359.0,24.2,69.5,19-29
Mid Atl,NE,6366.0,591.0,24.4,72.4,19-29
Mid Atl,NE,6768.0,402.0,24.5,69.1,19-29
Mid Atl,NE,6330.0,569.0,25.2,71.8,19-29
Mid Atl,NE,6330.0,569.0,25.2,71.8,19-29
N. Eng.,NE,6205.0,613.0,25.6,73.1,19-29
Mid Atl,NE,6406.0,486.0,25.8,70.8,19-29
N. Eng.,NE,6232.0,563.0,25.8,72.6,19-29
N. Eng.,NE,6232.0,563.0,25.8,72.6,19-29
Mid Atl,NE,6247.0,559.0,25.9,71.5,19-29
N. Eng.,NE,6156.0,600.0,26.2,72.7,19-29
N. Eng.,NE,6156.0,600.0,26.2,72.7,19-29
Mid Atl,NE,6047.0,659.0,26.2,72.5,19-29
N. Eng.,NE,6156.0,600.0,26.2,72.7,19-29
N. Eng.,NE,6024.0,667.0,26.4,73.5,19-29
N. Eng.,NE,5953.0,699.0,26.6,73.6,19-29
N. Eng.,NE,6100.0,521.0,26.6,71.7,19-29
N. Eng.,NE,5953.0,699.0,26.6,73.6,30-34
N. Eng.,NE,5953.0,699.0,26.6,73.6,30-34
N. Eng.,NE,5953.0,699.0,26.6,73.6,30-34
N. Eng.,NE,5953.0,699.0,26.6,73.6,30-34
Mid Atl,NE,5950.0,645.0,26.7,72.0,30-34
Mid Atl,NE,5950.0,645.0,26.7,72.0,30-34
Mid Atl,NE,5950.0,645.0,26.7,72.0,30-34
Mid Atl,NE,5950.0,645.0,26.7,72.0,30-34
Mid Atl,NE,5950.0,645.0,26.7,72.0,30-34
Mid Atl,NE,5950.0,645.0,26.7,72.0,30-34
N. Eng.,NE,6276.0,455.0,27.0,71.3,30-34
N. Eng.,NE,6276.0,455.0,27.0,71.3,30-34
N. Eng.,NE,6276.0,455.0,27.0,71.3,30-34
Mid Atl,NE,5885.0,642.0,27.1,71.6,30-34
Mid Atl,NE,5815.0,751.0,27.2,73.8,30-34
Mid Atl,NE,5815.0,751.0,27.2,73.8,30-34
Mid Atl,NE,5815.0,751.0,27.2,73.8,30-34
N. Eng.,NE,5976.0,611.0,27.4,72.5,30-34
N. Eng.,NE,5976.0,611.0,27.4,72.5,30-34
N. Eng.,NE,5976.0,611.0,27.4,72.5,30-34
N. Eng.,NE,5976.0,611.0,27.4,72.5,30-34
N. Eng.,NE,6294.0,328.0,27.8,69.6,30-34
N. Eng.,NE,6294.0,328.0,27.8,69.6,30-34
Mid Atl,NE,5768.0,728.0,27.9,72.9,30-34
Mid Atl,NE,5768.0,728.0,27.9,72.9,30-34
N. Eng.,NE,5847.0,598.0,28.0,72.7,30-34
N. Eng.,NE,5847.0,598.0,28.0,72.7,30-34
N. Eng.,NE,5908.0,574.0,28.2,72.5,30-34
N. Eng.,NE,5908.0,574.0,28.2,72.5,30-34
N. Eng.,NE,5908.0,574.0,28.2,72.5,30-34
N. Eng.,NE,6121.0,382.0,28.2,70.1,30-34
N. Eng.,NE,5908.0,574.0,28.2,72.5,30-34
N. Eng.,NE,5908.0,574.0,28.2,72.5,30-34
N. Eng.,NE,5908.0,574.0,28.2,72.5,30-34
Mid Atl,NE,5335.0,1006.0,29.4,75.8,30-34
Mid Atl,NE,5335.0,1006.0,29.4,75.8,30-34
N. Eng.,NE,5501.0,746.0,29.5,74.0,30-34
N. Eng.,NE,5501.0,746.0,29.5,74.0,30-34
N. Eng.,NE,5501.0,746.0,29.5,74.0,30-34
N. Eng.,NE,5501.0,746.0,29.5,74.0,30-34
N. Eng.,NE,5501.0,746.0,29.5,74.0,30-34
N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
N. Eng.,NE,5593.0,699.0,29.6,73.5,30-34
Mid Atl,NE,5419.0,778.0,29.6,74.1,30-34
Mid Atl,NE,5664.0,608.0,29.7,72.6,30-34
Mid Atl,NE,5203.0,901.0,30.0,74.7,30-34
Mid Atl,NE,5203.0,901.0,30.0,74.7,30-34
Mid Atl,NE,5253.0,863.0,30.1,74.8,30-34
Mid Atl,NE,5239.0,832.0,30.2,74.7,30-34
Mid Atl,NE,5239.0,832.0,30.2,74.7,30-34
Mid Atl,NE,5239.0,832.0,30.2,74.7,30-34
Mid Atl,NE,5285.0,854.0,30.6,74.6,30-34
Mid Atl,NE,5285.0,854.0,30.6,74.6,30-34
Mid Atl,NE,5285.0,854.0,30.6,74.6,30-34
Mid Atl,NE,5285.0,854.0,30.6,74.6,30-34
Mid Atl,NE,5285.0,854.0,30.6,74.6,30-34
Mid Atl,NE,5285.0,854.0,30.6,74.6,30-34
Mid Atl,NE,5285.0,854.0,30.6,74.6,30-34
Mid Atl,NE,5285.0,854.0,30.6,74.6,30-34
Mid Atl,NE,5285.0,854.0,30.6,74.6,30-34
Mid Atl,NE,5285.0,854.0,30.6,74.6,30-34
Mid Atl,NE,4947.0,1075.0,31.2,76.5,30-34
Mid Atl,NE,4947.0,1075.0,31.2,76.5,30-34
Mid Atl,NE,4947.0,1075.0,31.2,76.5,30-34
Mid Atl,NE,4947.0,1075.0,31.2,76.5,30-34
Mid Atl,NE,4972.0,1091.0,31.3,76.8,30-34
Mid Atl,NE,4972.0,1091.0,31.3,76.8,30-34
Mid Atl,NE,5169.0,886.0,31.3,75.0,30-34
Mid Atl,NE,4972.0,1091.0,31.3,76.8,30-34
Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
Mid Atl,NE,5169.0,886.0,31.3,75.0,35+
Mid Atl,NE,5169.0,886.0,31.3,75.0,35+
Mid Atl,NE,5169.0,886.0,31.3,75.0,35+
Mid Atl,NE,5169.0,886.0,31.3,75.0,35+
Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
Mid Atl,NE,4972.0,1091.0,31.3,76.8,35+
Mid Atl,NE,5169.0,886.0,31.3,75.0,35+
Mid Atl,NE,4950.0,983.0,31.6,75.9,35+
N. Eng.,NE,5305.0,721.0,31.6,73.4,35+
Mid Atl,NE,5158.0,770.0,31.6,74.0,35+
N. Eng.,NE,5305.0,721.0,31.6,73.4,35+
Mid Atl,NE,4868.0,1089.0,31.8,76.7,35+
Mid Atl,NE,4868.0,1089.0,31.8,76.7,35+
Mid Atl,NE,5086.0,792.0,31.8,74.4,35+
Mid Atl,NE,4868.0,1089.0,31.8,76.7,35+
Mid Atl,NE,4868.0,1089.0,31.8,76.7,35+
Mid Atl,NE,4922.0,1051.0,31.8,76.4,35+
Mid Atl,NE,4868.0,1089.0,31.8,76.7,35+
Mid Atl,NE,4922.0,1051.0,31.8,76.4,35+
Mid Atl,NE,4945.0,981.0,31.8,75.8,35+
N. Eng.,NE,,,,,35+
N. Eng.,NE,,,,,35+
W.N.C.,N Cntrl,9881.0,418.0,2.2,68.8,19-29
W.N.C.,N Cntrl,9343.0,476.0,4.3,70.6,19-29
W.N.C.,N Cntrl,9343.0,476.0,4.3,70.6,19-29
W.N.C.,N Cntrl,9901.0,150.0,6.3,65.3,19-29
W.N.C.,N Cntrl,9415.0,423.0,6.3,69.4,19-29
W.N.C.,N Cntrl,9075.0,473.0,6.7,70.4,19-29
W.N.C.,N Cntrl,8965.0,397.0,7.0,69.8,19-29
W.N.C.,N Cntrl,8570.0,589.0,8.3,72.1,19-29
E.N.C.,N Cntrl,9378.0,192.0,9.2,65.8,19-29
E.N.C.,N Cntrl,8463.0,472.0,9.8,70.8,19-29
W.N.C.,N Cntrl,8277.0,479.0,10.8,70.7,19-29
W.N.C.,N Cntrl,7967.0,654.0,11.0,72.8,19-29
W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
E.N.C.,N Cntrl,8565.0,371.0,11.2,69.4,19-29
W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
W.N.C.,N Cntrl,8007.0,662.0,11.2,73.1,19-29
W.N.C.,N Cntrl,7885.0,749.0,12.4,74.0,19-29
W.N.C.,N Cntrl,7881.0,619.0,12.5,72.2,19-29
W.N.C.,N Cntrl,7819.0,653.0,12.7,72.8,19-29
E.N.C.,N Cntrl,6563.0,615.0,14.0,64.5,19-29
W.N.C.,N Cntrl,7537.0,667.0,14.0,72.6,19-29
W.N.C.,N Cntrl,7537.0,667.0,14.0,72.6,19-29
E.N.C.,N Cntrl,6563.0,615.0,14.0,64.5,19-29
E.N.C.,N Cntrl,6563.0,615.0,14.0,64.5,19-29
E.N.C.,N Cntrl,7540.0,683.0,14.0,73.0,19-29
E.N.C.,N Cntrl,8143.0,381.0,14.0,69.5,19-29
E.N.C.,N Cntrl,7728.0,515.0,15.3,71.4,19-29
E.N.C.,N Cntrl,7692.0,523.0,15.4,71.4,19-29
E.N.C.,N Cntrl,7642.0,467.0,15.6,70.6,19-29
W.N.C.,N Cntrl,7375.0,580.0,15.6,71.9,19-29
E.N.C.,N Cntrl,7568.0,521.0,15.8,71.3,19-29
W.N.C.,N Cntrl,7175.0,785.0,15.8,73.9,19-29
W.N.C.,N Cntrl,6947.0,940.0,16.2,75.6,19-29
W.N.C.,N Cntrl,7013.0,761.0,16.8,73.8,19-29
W.N.C.,N Cntrl,6874.0,792.0,17.1,74.0,19-29
E.N.C.,N Cntrl,7055.0,648.0,17.4,72.5,19-29
E.N.C.,N Cntrl,7166.0,616.0,17.5,72.2,19-29
E.N.C.,N Cntrl,7194.0,570.0,18.1,71.8,19-29
E.N.C.,N Cntrl,7194.0,570.0,18.1,71.8,19-29
E.N.C.,N Cntrl,6952.0,714.0,18.3,73.0,19-29
E.N.C.,N Cntrl,7517.0,388.0,18.3,69.7,19-29
W.N.C.,N Cntrl,6671.0,828.0,18.5,74.3,19-29
W.N.C.,N Cntrl,6554.0,1019.0,18.6,76.3,19-29
E.N.C.,N Cntrl,7326.0,470.0,18.7,70.5,19-29
E.N.C.,N Cntrl,7326.0,470.0,18.7,70.5,19-29
E.N.C.,N Cntrl,6762.0,784.0,18.9,73.9,19-29
E.N.C.,N Cntrl,6703.0,767.0,19.2,73.4,19-29
E.N.C.,N Cntrl,7232.0,428.0,19.5,70.5,19-29
W.N.C.,N Cntrl,6482.0,872.0,19.5,74.4,19-29
E.N.C.,N Cntrl,6498.0,899.0,19.5,74.9,19-29
E.N.C.,N Cntrl,6498.0,899.0,19.5,74.9,19-29
E.N.C.,N Cntrl,6611.0,791.0,19.5,73.7,19-29
E.N.C.,N Cntrl,6848.0,707.0,19.7,73.4,19-29
E.N.C.,N Cntrl,6848.0,707.0,19.7,73.4,19-29
E.N.C.,N Cntrl,6848.0,707.0,19.7,73.4,19-29
W.N.C.,N Cntrl,6376.0,968.0,19.8,75.4,19-29
W.N.C.,N Cntrl,6339.0,1028.0,19.9,76.2,19-29
E.N.C.,N Cntrl,6563.0,615.0,20.0,67.9,19-29
E.N.C.,N Cntrl,6563.0,615.0,20.0,67.9,19-29
E.N.C.,N Cntrl,6563.0,615.0,20.0,67.9,19-29
E.N.C.,N Cntrl,6563.0,615.0,20.0,67.9,19-29
E.N.C.,N Cntrl,6563.0,615.0,20.0,67.9,19-29
E.N.C.,N Cntrl,6618.0,733.0,20.1,73.0,19-29
E.N.C.,N Cntrl,6618.0,733.0,20.1,73.0,19-29
E.N.C.,N Cntrl,6618.0,733.0,20.1,73.0,19-29
E.N.C.,N Cntrl,6563.0,615.0,20.2,67.4,19-29
E.N.C.,N Cntrl,6563.0,615.0,20.2,67.4,19-29
E.N.C.,N Cntrl,6881.0,591.0,20.2,71.5,19-29
W.N.C.,N Cntrl,6194.0,1166.0,20.2,77.7,19-29
W.N.C.,N Cntrl,6194.0,1166.0,20.2,77.7,19-29
E.N.C.,N Cntrl,6563.0,615.0,20.2,67.4,19-29
E.N.C.,N Cntrl,6563.0,615.0,20.2,67.4,19-29
E.N.C.,N Cntrl,6881.0,591.0,20.2,71.5,19-29
E.N.C.,N Cntrl,6563.0,615.0,20.2,67.4,19-29
E.N.C.,N Cntrl,6881.0,591.0,20.2,71.5,19-29
E.N.C.,N Cntrl,6563.0,615.0,20.2,67.4,19-29
E.N.C.,N Cntrl,7090.0,485.0,20.4,70.1,19-29
E.N.C.,N Cntrl,6919.0,591.0,20.4,71.7,19-29
W.N.C.,N Cntrl,6274.0,1017.0,20.6,75.8,19-29
W.N.C.,N Cntrl,6274.0,1017.0,20.6,75.8,19-29
W.N.C.,N Cntrl,6482.0,1028.0,20.6,76.6,19-29
E.N.C.,N Cntrl,7103.0,501.0,20.7,71.0,19-29
E.N.C.,N Cntrl,7103.0,501.0,20.7,71.0,19-29
W.N.C.,N Cntrl,7301.0,667.0,20.8,72.6,19-29
E.N.C.,N Cntrl,6302.0,917.0,20.9,74.8,19-29
E.N.C.,N Cntrl,6427.0,787.0,20.9,73.5,19-29
W.N.C.,N Cntrl,6181.0,992.0,21.0,75.5,19-29
E.N.C.,N Cntrl,7068.0,456.0,21.3,70.1,19-29
E.N.C.,N Cntrl,7068.0,456.0,21.3,70.1,19-29
E.N.C.,N Cntrl,6483.0,791.0,21.4,73.4,19-29
E.N.C.,N Cntrl,6483.0,791.0,21.4,73.4,19-29
E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
E.N.C.,N Cntrl,6483.0,791.0,21.4,73.4,19-29
E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
E.N.C.,N Cntrl,6483.0,791.0,21.4,73.4,19-29
E.N.C.,N Cntrl,6483.0,791.0,21.4,73.4,19-29
E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
E.N.C.,N Cntrl,6483.0,791.0,21.4,73.4,19-29
E.N.C.,N Cntrl,6483.0,791.0,21.4,73.4,19-29
E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
E.N.C.,N Cntrl,6483.0,791.0,21.4,73.4,19-29
E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
E.N.C.,N Cntrl,6483.0,791.0,21.4,73.4,19-29
E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
E.N.C.,N Cntrl,6483.0,791.0,21.4,73.4,19-29
E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
E.N.C.,N Cntrl,6455.0,740.0,21.4,73.0,19-29
E.N.C.,N Cntrl,6226.0,948.0,21.5,75.0,19-29
E.N.C.,N Cntrl,6226.0,948.0,21.5,75.0,19-29
E.N.C.,N Cntrl,6987.0,530.0,21.6,70.8,19-29
E.N.C.,N Cntrl,6987.0,530.0,21.6,70.8,19-29
E.N.C.,N Cntrl,6833.0,609.0,21.6,71.9,19-29
W.N.C.,N Cntrl,5967.0,1263.0,21.9,78.5,19-29
E.N.C.,N Cntrl,6847.0,555.0,22.0,71.5,19-29
E.N.C.,N Cntrl,6927.0,570.0,22.0,71.4,19-29
E.N.C.,N Cntrl,6927.0,570.0,22.0,71.4,19-29
E.N.C.,N Cntrl,6927.0,570.0,22.0,71.4,19-29
E.N.C.,N Cntrl,6658.0,636.0,22.4,72.1,19-29
E.N.C.,N Cntrl,6658.0,636.0,22.4,72.1,19-29
E.N.C.,N Cntrl,6723.0,599.0,22.4,71.7,19-29
E.N.C.,N Cntrl,6658.0,636.0,22.4,72.1,19-29
E.N.C.,N Cntrl,6177.0,955.0,22.6,75.0,19-29
E.N.C.,N Cntrl,6177.0,955.0,22.6,75.0,19-29
E.N.C.,N Cntrl,6177.0,955.0,22.6,75.0,19-29
E.N.C.,N Cntrl,6177.0,955.0,22.6,75.0,19-29
E.N.C.,N Cntrl,6177.0,955.0,22.6,75.0,19-29
E.N.C.,N Cntrl,6177.0,955.0,22.6,75.0,19-29
E.N.C.,N Cntrl,6177.0,955.0,22.6,75.0,19-29
E.N.C.,N Cntrl,6251.0,875.0,22.9,74.0,19-29
E.N.C.,N Cntrl,6251.0,875.0,22.9,74.0,19-29
E.N.C.,N Cntrl,6251.0,875.0,22.9,74.0,19-29
E.N.C.,N Cntrl,6251.0,875.0,22.9,74.0,19-29
E.N.C.,N Cntrl,6251.0,875.0,22.9,74.0,19-29
